step,roll,pitch,yaw,position_n,position_e,position_d,velocity_u,Va,gear_deploy,throttle,elevator
0,0,0,0,4.675e-08,0,0.000441985,0,0.0837145,1,0.0487706,0
1,-3.28968e-09,0,-4.36612e-16,8.01555e-07,1.72515e-12,0.00158649,9.53578e-06,0.141138,1,0.0951626,0
2,-6.03257e-08,-1.98734e-23,-1.56929e-14,5.44769e-06,4.52418e-12,0.00319035,0.000185428,0.176262,1,0.139292,-3.73305e-24
3,-4.2382e-07,-4.55298e-21,-1.55248e-13,2.01592e-05,6.27178e-12,0.00505098,0.00084376,0.193177,1,0.181269,-8.58519e-22
4,-1.62203e-06,-1.62967e-19,-8.0623e-13,5.31096e-05,5.04562e-12,0.0070061,0.00223581,0.195841,1,0.221199,-3.13667e-20
5,-4.42489e-06,-2.2506e-18,-2.8229e-12,0.000113518,-1.8732e-12,0.00893137,0.00451062,0.187924,1,0.259182,-4.50406e-19
6,-9.79838e-06,-1.7134e-17,-7.55917e-12,0.000210936,-1.83736e-11,0.0107367,0.00773347,0.172717,1,0.295312,-3.61768e-18
7,-1.88642e-05,-8.67672e-17,-1.66616e-11,0.000354753,-4.8709e-11,0.012362,0.01191,0.153103,1,0.32968,-1.95305e-17
8,-3.28661e-05,-3.26744e-16,-3.1687e-11,0.000553861,-9.5973e-11,0.0137719,0.0170048,0.131592,1,0.362372,-7.90027e-17
9,-5.31427e-05,-9.82945e-16,-5.37099e-11,0.000816436,-1.60602e-10,0.0149514,0.0229559,0.110413,1,0.393469,-2.56829e-16
10,-8.11032e-05,-2.48112e-15,-8.30933e-11,0.00114981,-2.39541e-10,0.0159013,0.0296842,0.0916705,1,0.42305,-7.04229e-16
11,-0.000118209,-5.446e-15,-1.19518e-10,0.00156042,-3.26434e-10,0.0166336,0.037101,0.077462,1,0.451188,-1.68742e-15
12,-0.000165954,-1.0685e-14,-1.62243e-10,0.00205373,-4.13105e-10,0.0171684,0.0451135,0.0705804,1,0.477954,-3.63118e-15
